City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
170,santa elena,-2.2333,-80.85,300.9,83,20,3.6,EC,1707268969
171,klyuchi,52.2667,79.1667,264.91,81,100,5.96,RU,1707268969
172,qaqortoq,60.7167,-46.0333,258.57,64,0,4.54,GL,1707268970
173,tuensang,26.2833,94.8333,282.44,96,0,1.36,IN,1707268970
174,san julian,21.0167,-102.1667,290.92,14,0,1.61,MX,1707268971
175,mhamid,29.82,-5.72,285.19,31,70,1.14,MA,1707268971
176,kampene,-3.6,26.6667,293.92,97,100,0.93,CD,1707268972
177,nizhniy odes,63.6445,54.856,247.88,100,100,1.52,RU,1707268972
178,st. john's,47.5649,-52.7093,273.59,92,100,13.86,CA,1707268730
179,atafu village,-8.5421,-172.5159,301.81,81,85,10.36,TK,1707268973
180,faya-largeau,17.9257,19.1043,289.9,27,100,9.58,TD,1707268398
181,port lincoln,-34.7333,135.8667,292.17,65,59,4.1,AU,1707268974
182,illizi,26.4833,8.4667,282.04,29,75,1.93,DZ,1707268388
183,olonkinbyen,70.9221,-8.7187,269.48,90,89,9.71,SJ,1707268975
184,ploudalmezeau,48.5333,-4.65,286.08,94,100,11.32,FR,1707268976
185,san patricio,28.017,-97.5169,290.07,61,7,3.94,US,1707268976
186,taco pozo,-25.6167,-63.2833,301.11,60,100,4.9,AR,1707268976
187,iwanai,42.9744,140.5089,273.03,70,98,2.32,JP,1707268977
188,fale old settlement,-9.3852,-171.2468,302.06,80,100,11.24,TK,1707268977
189,flying fish cove,-10.4217,105.6791,300.97,78,40,2.57,CX,1707268978
190,yeppoon,-23.1333,150.7333,306.03,64,13,6.92,AU,1707268978
191,morondava,-20.2833,44.2833,299.61,84,98,4.09,MG,1707268979
192,port elizabeth,-33.918,25.5701,295.98,90,20,8.75,ZA,1707268979
193,wailua homesteads,22.0669,-159.378,299.39,65,0,8.75,US,1707268980
194,richards bay,-28.783,32.0377,293.77,91,30,3.39,ZA,1707268095
195,swan hill,-35.3378,143.5544,296.5,28,0,5.8,AU,1707268981
196,el fahs,36.3742,9.9065,285.67,39,100,2.62,TN,1707268982
197,saipan,15.1355,145.701,302.54,54,20,5.14,MP,1707268983
198,stanovoye,52.7638,38.3582,260.35,97,100,2.48,RU,1707268983
199,byron bay,-28.65,153.6167,301.88,78,14,7.54,AU,1707268984
200,margate,51.3813,1.3862,284.32,92,100,2.68,GB,1707268984
201,utrik,11.2278,169.8474,299.79,80,87,7.09,MH,1707268985
202,bavly,54.393,53.2602,271.08,88,100,4.27,RU,1707268986
203,san antonio de pale,-1.4014,5.6325,301.09,74,51,1.71,GQ,1707268986
204,salekhard,66.53,66.6019,246.12,100,100,0.77,RU,1707268987
205,bagan serai,5.0108,100.541,301.16,91,100,1.11,MY,1707268987
206,bogen,48.9112,12.6896,280.75,81,99,5.86,DE,1707268989
207,kongolo,-5.3833,27.0,294.04,98,94,1.51,CD,1707268989
208,cachoeira do sul,-30.0392,-52.8939,296.55,81,100,4.06,BR,1707268990
209,vorgashor,67.5833,63.95,246.1,99,89,1.96,RU,1707268990
210,brakpan,-26.2366,28.3694,294.07,75,0,0.55,ZA,1707268991
211,motueka,-41.1333,173.0167,298.2,27,24,1.75,NZ,1707268992
212,saint-pierre,-21.3393,55.4781,296.97,60,0,3.09,RE,1707268415
213,tuttle,35.2909,-97.8123,287.27,52,84,3.84,US,1707268993
214,huarmey,-10.0681,-78.1522,298.35,78,23,3.76,PE,1707268993
215,eldorado at santa fe,35.5264,-105.9347,283.05,42,40,3.58,US,1707268994
216,prineville,44.2999,-120.8345,279.21,70,100,2.06,US,1707268995
217,ghazni,33.5536,68.4269,266.19,62,46,2.77,AF,1707268995
218,thinadhoo,0.5333,72.9333,301.1,76,100,3.45,MV,1707268996
219,opuwo,-18.0607,13.84,293.35,88,100,2.28,NA,1707268996
220,payson,40.0444,-111.7321,282.86,61,100,7.72,US,1707268997
221,lintong,34.378,109.2089,273.53,73,100,0.93,CN,1707268998
222,benguela,-12.5763,13.4055,299.86,78,100,0.54,AO,1707268998
223,bikaner,28.0167,73.3,286.15,33,98,4.28,IN,1707268999
224,timbuktu,16.7735,-3.0074,292.73,13,0,4.99,ML,1707268986
225,mozarlandia,-14.7447,-50.5706,296.45,92,100,3.13,BR,1707269000
226,ta`u,-14.2336,-169.5144,301.4,85,100,14.13,AS,1707269001
227,mount gambier,-37.8333,140.7667,291.46,58,100,2.89,AU,1707269001
228,arar,30.9753,41.0381,280.16,70,0,3.09,SA,1707269002
229,eureka,40.8021,-124.1637,283.67,84,67,4.92,US,1707268824
230,sosnovka,56.255,51.2842,269.38,94,100,4.02,RU,1707269003
231,alofi,-19.0595,-169.9187,303.09,66,75,6.17,NU,1707269003
232,pergamino,-33.89,-60.5736,304.2,38,1,3.85,AR,1707269004
233,susuman,62.7833,148.1667,243.7,100,98,0.45,RU,1707268997
234,thiruthani,13.1833,79.6333,293.08,91,9,1.3,IN,1707269005
235,thompson,55.7435,-97.8558,255.24,71,75,3.6,CA,1707268749
236,tofol,5.3248,163.0078,304.03,66,75,8.23,FM,1707268839
237,kerikeri,-35.2268,173.9474,297.63,58,35,3.87,NZ,1707269006
238,coruripe,-10.1256,-36.1756,299.45,83,97,3.49,BR,1707268994
